family,source_grid,simulation_cutoff,seed_bandwidth,target_energy,kx,ky,kz,ux_real,ux_imag,uy_real,uy_imag,uz_real,uz_imag
vortex-tubes,16,5,3,10,0,3,1,4.9690505879569712e-19,9.7046287072381747e-18,2.324387200787012e-18,-3.7518121453089888e-19,-6.9731616023610368e-18,1.1255436435926969e-18
vortex-tubes,16,5,3,10,0,3,2,-0.042059996694386571,0.35435727223269148,-0.01332106677576652,-0.025177752694232565,0.019981600163649776,0.037766629041348837
vortex-tubes,16,5,3,10,0,3,3,-1.9138609166537893e-17,2.2266137695866245e-17,-2.5489139287088817e-18,-2.4925659425061707e-18,2.5489139287088817e-18,2.4925659425061699e-18
vortex-tubes,16,5,3,10,0,3,-3,2.2343074487344582e-17,-4.1160552580900144e-17,-2.8995974422767631e-18,-2.0040965651006724e-18,-2.8995974422767638e-18,-2.0040965651006732e-18
vortex-tubes,16,5,3,10,0,3,-2,0.042059996694386689,-0.35435727223269153,-0.013321066775766504,-0.025177752694232572,-0.019981600163649756,-0.037766629041348865
vortex-tubes,16,5,3,10,0,3,-1,3.7736692806257668e-18,4.2059548063633867e-18,1.0285549745003423e-18,-1.3294676078921996e-19,3.0856649235010271e-18,-3.9884028236765988e-19
vortex-tubes,16,5,3,10,0,-3,0,5.699470889422154e-17,-1.4304304920273145e-17,0,0,1.0745074236458704e-18,-2.9593668268847006e-18
vortex-tubes,16,5,3,10,0,-3,1,3.7736692806257668e-18,-4.2059548063633867e-18,1.0285549745003423e-18,1.3294676078921996e-19,3.0856649235010271e-18,3.9884028236765988e-19
vortex-tubes,16,5,3,10,0,-3,2,0.042059996694386689,0.35435727223269153,-0.013321066775766504,0.025177752694232572,-0.019981600163649756,0.037766629041348865
vortex-tubes,16,5,3,10,0,-3,3,2.2343074487344582e-17,4.1160552580900144e-17,-2.8995974422767631e-18,2.0040965651006724e-18,-2.8995974422767638e-18,2.0040965651006732e-18
vortex-tubes,16,5,3,10,0,-3,-3,-1.9138609166537893e-17,-2.2266137695866245e-17,-2.5489139287088817e-18,2.4925659425061707e-18,2.5489139287088817e-18,-2.4925659425061699e-18
vortex-tubes,16,5,3,10,0,-3,-2,-0.042059996694386571,-0.35435727223269148,-0.01332106677576652,0.025177752694232565,0.019981600163649776,-0.037766629041348837
vortex-tubes,16,5,3,10,0,-3,-1,4.9690505879569712e-19,-9.7046287072381747e-18,2.324387200787012e-18,3.7518121453089888e-19,-6.9731616023610368e-18,-1.1255436435926969e-18
vortex-tubes,16,5,3,10,0,-2,0,-4.7868488335876611e-17,2.1330477067053605e-17,0,0,-1.5547083610273292e-18,-6.4413483610043817e-18
vortex-tubes,16,5,3,10,0,-2,1,-3.1238256963448604e-17,9.5809235894302901e-18,-2.0703188798359666e-19,-3.3737875652689739e-18,-4.1406377596719331e-19,-6.7475751305379478e-18
vortex-tubes,16,5,3,10,0,-2,2,0.037596000235805185,-0.4558762521385229,-0.00078097870491297921,-0.021317126634969839,-0.00078097870491297921,-0.021317126634969839
vortex-tubes,16,5,3,10,0,-2,3,2.7747211161217e-17,-4.261928710519187e-17,-1.4410744321812756e-18,-5.8877137702306396e-18,-9.6071628812085023e-19,-3.9251425134870941e-18
vortex-tubes,16,5,3,10,0,-2,-3,1.762067902427509e-17,5.3419396255424958e-17,1.9725881108696049e-18,1.1650323197720282e-18,-1.3150587405797356e-18,-7.7668821318135248e-19
vortex-tubes,16,5,3,10,0,-2,-2,-0.037596000235805338,0.45587625213852279,-0.00078097870491296208,-0.021317126634969871,0.00078097870491296208,0.021317126634969871
vortex-tubes,16,5,3,10,0,-2,-1,-2.8630358466694429e-17,1.931080978039389e-18,-3.0885887293998331e-18,-6.2567015537925407e-18,6.1771774587996661e-18,1.2513403107585081e-17
vortex-tubes,16,5,3,10,0,-1,0,-1.2868859696840588e-18,-2.8614829826681889e-17,0,0,3.265135563362383e-18,1.3681218791605859e-18
vortex-tubes,16,5,3,10,0,-1,1,3.9763824907308406e-17,-8.685882637378345e-18,-1.7204237996888825e-18,1.268423160384935e-17,-1.7204237996888825e-18,1.268423160384935e-17
vortex-tubes,16,5,3,10,0,-1,2,-0.056695900537943163,0.29570886785205874,0.026983103305301424,-0.0059600419161289922,0.013491551652650712,-0.0029800209580644961
vortex-tubes,16,5,3,10,0,-1,3,-4.5483174290999333e-17,1.2877500293583155e-17,9.9810414405806501e-18,8.769705758040385e-18,3.3270138135268839e-18,2.9232352526801281e-18
vortex-tubes,16,5,3,10,0,-1,-3,-1.8025598295399648e-17,-3.6079744320280499e-17,3.0153285995682936e-18,4.2680215743652968e-18,-1.0051095331894307e-18,-1.4226738581217655e-18
